Panel;Wêze³;Przypadek;MXX (kNm/m);MYY (kNm/m);MXY (kNm/m);NXX (kN/m);NYY (kN/m);NXY (kN/m);QXX (kN/m);QYY (kN/m)
 2; 287; 3 (K);12,87;-4,42;-5,26;-61,53;-36,13;-2,43;-47,03;1,81
 2; 288; 3 (K);12,70;-3,95;-6,58;-56,54;-35,11;-3,84;-44,34;2,31
 2; 289; 3 (K);12,50;-3,35;-7,76;-51,13;-34,12;-4,97;-41,36;3,08
 2; 290; 3 (K);12,28;-2,57;-8,80;-45,42;-33,16;-5,72;-38,16;4,15
 2; 291; 3 (K);4,51;22,47;8,03;-27,68;-40,32;23,48;24,98;-41,94
 2; 292; 3 (K);3,48;16,72;11,96;-35,14;-40,01;27,07;16,51;-35,09
 2; 293; 3 (K);2,73;11,85;14,40;-42,04;-39,88;29,25;8,12;-29,01
 2; 294; 3 (K);2,24;7,75;16,08;-48,41;-39,91;30,43;0,34;-23,73
 2; 295; 3 (K);1,98;4,32;17,12;-54,28;-40,00;30,83;-6,86;-19,14
 2; 296; 3 (K);1,92;1,46;17,61;-59,68;-40,10;30,60;-13,49;-15,19
 2; 297; 3 (K);2,02;-0,90;17,64;-64,56;-40,19;29,82;-19,55;-11,83
 2; 298; 3 (K);2,25;-2,83;17,27;-68,87;-40,27;28,58;-25,04;-9,00
 2; 299; 3 (K);2,58;-4,40;16,57;-72,57;-40,34;26,99;-29,94;-6,64
 2; 300; 3 (K);2,99;-5,66;15,60;-75,61;-40,39;25,11;-34,26;-4,71
 2; 301; 3 (K);3,44;-6,66;14,40;-77,98;-40,41;23,04;-37,99;-3,14
 2; 302; 3 (K);3,91;-7,43;13,02;-79,68;-40,40;20,82;-41,15;-1,88
 2; 303; 3 (K);4,38;-8,02;11,50;-80,72;-40,33;18,53;-43,74;-0,88
 2; 304; 3 (K);4,84;-8,45;9,87;-81,12;-40,19;16,21;-45,78;-0,08
 2; 305; 3 (K);5,27;-8,74;8,17;-80,92;-39,97;13,88;-47,28;0,55
 2; 306; 3 (K);5,67;-8,90;6,41;-80,12;-39,65;11,58;-48,27;1,05
 2; 307; 3 (K);6,02;-8,96;4,63;-78,77;-39,23;9,33;-48,77;1,46
 2; 308; 3 (K);6,33;-8,92;2,85;-76,88;-38,72;7,13;-48,79;1,82
 2; 309; 3 (K);6,59;-8,78;1,09;-74,47;-38,12;5,01;-48,37;2,16
 2; 310; 3 (K);6,81;-8,55;-0,64;-71,57;-37,44;2,98;-47,51;2,52
 2; 311; 3 (K);6,99;-8,23;-2,30;-68,17;-36,71;1,06;-46,25;2,94
 2; 312; 3 (K);7,13;-7,80;-3,88;-64,30;-35,95;-0,72;-44,62;3,44
 2; 313; 3 (K);7,25;-7,26;-5,36;-59,97;-35,20;-2,33;-42,65;4,08
 2; 314; 3 (K);7,36;-6,59;-6,72;-55,23;-34,46;-3,71;-40,37;4,89
 2; 315; 3 (K);7,45;-5,75;-7,95;-50,15;-33,75;-4,79;-37,84;5,90
 2; 316; 3 (K);7,55;-4,72;-9,03;-44,84;-33,06;-5,52;-35,11;7,14
 2; 317; 3 (K);5,30;27,42;8,00;-32,39;-47,25;23,79;25,59;-52,48
 2; 318; 3 (K);3,76;20,33;11,99;-38,06;-46,27;27,54;17,93;-44,56
 2; 319; 3 (K);2,46;14,34;14,49;-43,73;-45,35;29,85;10,21;-37,62
 2; 320; 3 (K);1,41;9,26;16,24;-49,19;-44,55;31,12;3,03;-31,55
 2; 321; 3 (K);0,59;4,98;17,35;-54,36;-43,86;31,57;-3,63;-26,25
 2; 322; 3 (K);-0,02;1,39;17,90;-59,15;-43,24;31,36;-9,78;-21,63
 2; 323; 3 (K);-0,46;-1,60;17,97;-63,53;-42,67;30,60;-15,42;-17,62
 2; 324; 3 (K);-0,73;-4,08;17,64;-67,43;-42,16;29,38;-20,53;-14,16
 2; 325; 3 (K);-0,87;-6,12;16,97;-70,79;-41,68;27,80;-25,12;-11,19
 2; 326; 3 (K);-0,89;-7,78;16,01;-73,58;-41,24;25,94;-29,18;-8,66
 2; 327; 3 (K);-0,82;-9,11;14,82;-75,78;-40,82;23,85;-32,71;-6,50
 2; 328; 3 (K);-0,68;-10,16;13,43;-77,36;-40,42;21,62;-35,73;-4,67
 2; 329; 3 (K);-0,49;-10,96;11,89;-78,34;-40,01;19,30;-38,23;-3,13
 2; 330; 3 (K);-0,26;-11,55;10,24;-78,72;-39,60;16,92;-40,23;-1,81
 2; 331; 3 (K);-0,00;-11,95;8,50;-78,52;-39,16;14,53;-41,75;-0,68
 2; 332; 3 (K);0,27;-12,19;6,71;-77,76;-38,69;12,16;-42,79;0,30
 2; 333; 3 (K);0,55;-12,28;4,89;-76,46;-38,18;9,84;-43,38;1,17
 2; 334; 3 (K);0,84;-12,22;3,07;-74,64;-37,63;7,57;-43,54;1,97
 2; 335; 3 (K);1,12;-12,04;1,27;-72,32;-37,05;5,40;-43,29;2,73
 2; 336; 3 (K);1,41;-11,74;-0,49;-69,52;-36,45;3,32;-42,64;3,48
 2; 337; 3 (K);1,70;-11,30;-2,18;-66,25;-35,83;1,38;-41,63;4,26
 2; 338; 3 (K);2,00;-10,74;-3,79;-62,55;-35,23;-0,41;-40,29;5,11
 2; 339; 3 (K);2,30;-10,02;-5,30;-58,43;-34,64;-1,99;-38,64;6,05
 2; 340; 3 (K);2,62;-9,15;-6,69;-53,96;-34,08;-3,34;-36,71;7,12
 2; 341; 3 (K);2,95;-8,09;-7,94;-49,20;-33,55;-4,39;-34,56;8,35
 2; 342; 3 (K);3,29;-6,81;-9,05;-44,26;-33,03;-5,11;-32,23;9,76
 2; 343; 3 (K);6,14;32,33;7,85;-37,10;-53,72;23,54;25,50;-62,01
 2; 344; 3 (K);4,18;24,01;11,81;-41,12;-52,26;27,28;18,66;-53,28
 2; 345; 3 (K);2,42;16,93;14,33;-45,55;-50,74;29,69;11,64;-45,62
 2; 346; 3 (K);0,89;10,91;16,12;-50,07;-49,30;31,06;5,07;-38,87
 2; 347; 3 (K);-0,41;5,80;17,27;-54,48;-47,95;31,60;-1,05;-32,93
 2; 348; 3 (K);-1,51;1,49;17,87;-58,67;-46,71;31,46;-6,71;-27,69
 2; 349; 3 (K);-2,40;-2,14;18,00;-62,55;-45,56;30,77;-11,92;-23,09
 2; 350; 3 (K);-3,11;-5,17;17,71;-66,03;-44,51;29,63;-16,67;-19,05
 2; 351; 3 (K);-3,66;-7,68;17,08;-69,05;-43,54;28,11;-20,94;-15,52
 2; 352; 3 (K);-4,06;-9,73;16,16;-71,58;-42,65;26,30;-24,75;-12,43
 2; 353; 3 (K);-4,34;-11,40;15,00;-73,59;-41,82;24,26;-28,08;-9,74
 2; 354; 3 (K);-4,50;-12,72;13,63;-75,04;-41,06;22,06;-30,94;-7,39
 2; 355; 3 (K);-4,57;-13,74;12,11;-75,93;-40,34;19,76;-33,34;-5,33
 2; 356; 3 (K);-4,56;-14,50;10,46;-76,28;-39,67;17,39;-35,28;-3,53
 2; 357; 3 (K);-4,47;-15,02;8,73;-76,07;-39,01;14,99;-36,79;-1,93
 2; 358; 3 (K);-4,32;-15,33;6,93;-75,34;-38,38;12,61;-37,86;-0,50
 2; 359; 3 (K);-4,13;-15,46;5,11;-74,10;-37,76;10,27;-38,53;0,80
 2; 360; 3 (K);-3,88;-15,40;3,28;-72,35;-37,15;7,99;-38,79;2,00
 2; 361; 3 (K);-3,59;-15,18;1,48;-70,13;-36,55;5,80;-38,69;3,14
 2; 362; 3 (K);-3,27;-14,80;-0,29;-67,45;-35,96;3,73;-38,22;4,26
 2; 363; 3 (K);-2,90;-14,26;-1,99;-64,34;-35,40;1,80;-37,43;5,38
 2; 364; 3 (K);-2,50;-13,56;-3,61;-60,82;-34,87;0,04;-36,33;6,53
 2; 365; 3 (K);-2,06;-12,68;-5,12;-56,93;-34,38;-1,52;-34,95;7,75
 2; 366; 3 (K);-1,58;-11,62;-6,52;-52,73;-33,93;-2,83;-33,34;9,06
 2; 367; 3 (K);-1,06;-10,35;-7,79;-48,28;-33,50;-3,85;-31,51;10,49
 2; 368; 3 (K);-0,51;-8,85;-8,92;-43,68;-33,09;-4,56;-29,52;12,04
 2; 369; 3 (K);7,00;37,12;7,61;-41,63;-59,59;22,91;24,90;-70,56
 2; 370; 3 (K);4,68;27,66;11,47;-44,20;-57,79;26,52;18,84;-61,21
 2; 371; 3 (K);2,54;19,56;13,96;-47,46;-55,85;28,95;12,52;-52,96
 2; 372; 3 (K);0,61;12,64;15,76;-51,05;-53,92;30,40;6,56;-45,65
 2; 373; 3 (K);-1,11;6,74;16,94;-54,71;-52,06;31,03;0,98;-39,14
 2; 374; 3 (K);-2,61;1,72;17,59;-58,28;-50,31;31,01;-4,21;-33,36
 2; 375; 3 (K);-3,90;-2,52;17,76;-61,64;-48,67;30,42;-9,00;-28,22
 2; 376; 3 (K);-5,00;-6,09;17,53;-64,70;-47,15;29,38;-13,38;-23,66
 2; 377; 3 (K);-5,91;-9,06;16,96;-67,39;-45,75;27,97;-17,35;-19,60
 2; 378; 3 (K);-6,65;-11,52;16,08;-69,66;-44,46;26,25;-20,89;-16,01
 2; 379; 3 (K);-7,23;-13,52;14,96;-71,45;-43,27;24,30;-24,01;-12,83
 2; 380; 3 (K);-7,67;-15,11;13,64;-72,76;-42,18;22,17;-26,71;-9,99
 2; 381; 3 (K);-7,97;-16,36;12,16;-73,56;-41,17;19,93;-29,00;-7,47
 2; 382; 3 (K);-8,16;-17,28;10,54;-73,86;-40,25;17,61;-30,87;-5,22
 2; 383; 3 (K);-8,24;-17,93;8,84;-73,65;-39,38;15,26;-32,35;-3,19
 2; 384; 3 (K);-8,22;-18,33;7,08;-72,94;-38,58;12,91;-33,44;-1,34
 2; 385; 3 (K);-8,12;-18,49;5,28;-71,74;-37,83;10,60;-34,15;0,35
 2; 386; 3 (K);-7,92;-18,44;3,47;-70,07;-37,13;8,35;-34,50;1,93
 2; 387; 3 (K);-7,65;-18,18;1,68;-67,96;-36,48;6,19;-34,52;3,43
 2; 388; 3 (K);-7,31;-17,74;-0,06;-65,41;-35,88;4,15;-34,21;4,87
 2; 389; 3 (K);-6,90;-17,10;-1,75;-62,45;-35,32;2,26;-33,60;6,30
 2; 390; 3 (K);-6,42;-16,27;-3,36;-59,13;-34,82;0,54;-32,71;7,74
 2; 391; 3 (K);-5,88;-15,24;-4,87;-55,47;-34,37;-0,97;-31,57;9,21
 2; 392; 3 (K);-5,28;-14,00;-6,26;-51,53;-33,96;-2,24;-30,21;10,74
 2; 393; 3 (K);-4,62;-12,53;-7,53;-47,38;-33,58;-3,24;-28,66;12,35
 2; 394; 3 (K);-3,91;-10,83;-8,66;-43,09;-33,21;-3,95;-26,96;14,05
 2; 395; 3 (K);7,85;41,72;7,31;-45,84;-64,82;22,03;23,92;-78,16
 2; 396; 3 (K);5,22;31,23;11,03;-47,19;-62,78;25,42;18,60;-68,35
 2; 397; 3 (K);2,77;22,19;13,45;-49,41;-60,55;27,79;12,94;-59,65
 2; 398; 3 (K);0,50;14,43;15,22;-52,11;-58,27;29,28;7,57;-51,86
 2; 399; 3 (K);-1,56;7,76;16,42;-55,04;-56,03;30,01;2,52;-44,88
 2; 400; 3 (K);-3,41;2,07;17,10;-58,00;-53,88;30,09;-2,21;-38,62
 2; 401; 3 (K);-5,05;-2,77;17,32;-60,86;-51,85;29,63;-6,59;-33,00
 2; 402; 3 (K);-6,47;-6,86;17,14;-63,50;-49,94;28,72;-10,62;-27,97
 2; 403; 3 (K);-7,70;-10,29;16,62;-65,84;-48,17;27,43;-14,27;-23,45
 2; 404; 3 (K);-8,74;-13,13;15,81;-67,83;-46,54;25,83;-17,56;-19,40
 2; 405; 3 (K);-9,59;-15,46;14,75;-69,42;-45,03;24,00;-20,47;-15,76
 2; 406; 3 (K);-10,27;-17,33;13,49;-70,57;-43,64;21,98;-23,00;-12,49
 2; 407; 3 (K);-10,80;-18,80;12,06;-71,27;-42,37;19,84;-25,16;-9,54
 2; 408; 3 (K);-11,18;-19,90;10,50;-71,51;-41,21;17,61;-26,95;-6,87
 2; 409; 3 (K);-11,41;-20,67;8,85;-71,27;-40,15;15,34;-28,39;-4,44
 2; 410; 3 (K);-11,52;-21,15;7,14;-70,58;-39,18;13,06;-29,47;-2,22
 2; 411; 3 (K);-11,50;-21,36;5,38;-69,43;-38,30;10,81;-30,21;-0,16
 2; 412; 3 (K);-11,37;-21,31;3,62;-67,84;-37,49;8,63;-30,63;1,77
 2; 413; 3 (K);-11,14;-21,03;1,87;-65,83;-36,76;6,53;-30,74;3,60
 2; 414; 3 (K);-10,80;-20,52;0,16;-63,41;-36,11;4,55;-30,56;5,35
 2; 415; 3 (K);-10,37;-19,80;-1,49;-60,62;-35,53;2,72;-30,10;7,06
 2; 416; 3 (K);-9,84;-18,85;-3,07;-57,49;-35,01;1,06;-29,39;8,76
 2; 417; 3 (K);-9,23;-17,68;-4,55;-54,05;-34,55;-0,40;-28,46;10,46
 2; 418; 3 (K);-8,54;-16,27;-5,93;-50,37;-34,14;-1,63;-27,32;12,19
 2; 419; 3 (K);-7,77;-14,63;-7,18;-46,49;-33,77;-2,60;-26,01;13,97
 2; 420; 3 (K);-6,93;-12,73;-8,31;-42,50;-33,40;-3,31;-24,55;15,80
 2; 421; 3 (K);8,67;46,09;6,95;-49,66;-69,41;20,97;22,69;-84,88
 2; 422; 3 (K);5,80;34,66;10,50;-50,03;-67,22;24,08;18,04;-74,74
 2; 423; 3 (K);3,07;24,77;12,82;-51,33;-64,79;26,35;13,00;-65,69
 2; 424; 3 (K);0,52;16,22;14,56;-53,24;-62,27;27,83;8,20;-57,52
 2; 425; 3 (K);-1,83;8,84;15,74;-55,48;-59,76;28,63;3,64;-50,14
 2; 426; 3 (K);-3,97;2,51;16,44;-57,85;-57,31;28,81;-0,64;-43,46
 2; 427; 3 (K);-5,90;-2,90;16,70;-60,20;-54,97;28,48;-4,63;-37,43
 2; 428; 3 (K);-7,61;-7,49;16,58;-62,43;-52,76;27,70;-8,30;-31,97
 2; 429; 3 (K);-9,11;-11,36;16,12;-64,43;-50,69;26,56;-11,66;-27,04
 2; 430; 3 (K);-10,41;-14,58;15,37;-66,14;-48,76;25,10;-14,68;-22,57
 2; 431; 3 (K);-11,51;-17,24;14,38;-67,51;-46,98;23,41;-17,38;-18,53
 2; 432; 3 (K);-12,41;-19,38;13,19;-68,50;-45,33;21,52;-19,74;-14,86
 2; 433; 3 (K);-13,13;-21,06;11,83;-69,08;-43,83;19,50;-21,77;-11,52
 2; 434; 3 (K);-13,68;-22,33;10,35;-69,25;-42,46;17,39;-23,47;-8,47
 2; 435; 3 (K);-14,07;-23,24;8,76;-68,99;-41,21;15,23;-24,85;-5,68
 2; 436; 3 (K);-14,29;-23,80;7,11;-68,31;-40,07;13,05;-25,91;-3,10
 2; 437; 3 (K);-14,37;-24,06;5,43;-67,20;-39,05;10,90;-26,67;-0,70
 2; 438; 3 (K);-14,31;-24,02;3,72;-65,68;-38,13;8,81;-27,13;1,55
 2; 439; 3 (K);-14,12;-23,72;2,03;-63,77;-37,31;6,79;-27,32;3,67
 2; 440; 3 (K);-13,80;-23,16;0,37;-61,49;-36,59;4,90;-27,24;5,71
 2; 441; 3 (K);-13,36;-22,35;-1,23;-58,86;-35,94;3,14;-26,91;7,68
 2; 442; 3 (K);-12,81;-21,30;-2,76;-55,91;-35,38;1,55;-26,36;9,61
 2; 443; 3 (K);-12,15;-19,99;-4,21;-52,69;-34,89;0,15;-25,59;11,53
 2; 444; 3 (K);-11,39;-18,44;-5,55;-49,24;-34,45;-1,03;-24,65;13,44
 2; 445; 3 (K);-10,54;-16,63;-6,78;-45,62;-34,04;-1,98;-23,54;15,38
 2; 446; 3 (K);-9,61;-14,55;-7,89;-41,89;-33,66;-2,68;-22,29;17,34
 2; 447; 3 (K);9,46;50,19;6,56;-53,08;-73,40;19,80;21,29;-90,80
 2; 448; 3 (K);6,37;37,93;9,91;-52,66;-71,10;22,60;17,25;-80,42
 2; 449; 3 (K);3,42;27,26;12,12;-53,19;-68,55;24,72;12,78;-71,12
 2; 450; 3 (K);0,63;17,99;13,79;-54,39;-65,88;26,17;8,50;-62,64
 2; 451; 3 (K);-1,96;9,95;14,95;-55,99;-63,18;26,99;4,42;-54,93
 2; 452; 3 (K);-4,35;3,02;15,65;-57,81;-60,53;27,27;0,56;-47,90
 2; 453; 3 (K);-6,52;-2,93;15,94;-59,68;-57,96;27,05;-3,04;-41,51
 2; 454; 3 (K);-8,48;-8,00;15,87;-61,50;-55,51;26,41;-6,38;-35,68
 2; 455; 3 (K);-10,22;-12,29;15,47;-63,16;-53,20;25,41;-9,45;-30,37
 2; 456; 3 (K);-11,74;-15,88;14,79;-64,59;-51,03;24,11;-12,22;-25,54
 2; 457; 3 (K);-13,05;-18,84;13,88;-65,74;-49,02;22,56;-14,71;-21,13
 2; 458; 3 (K);-14,15;-21,25;12,77;-66,56;-47,16;20,83;-16,90;-17,09
 2; 459; 3 (K);-15,05;-23,15;11,49;-67,03;-45,45;18,95;-18,79;-13,40
 2; 460; 3 (K);-15,75;-24,59;10,09;-67,12;-43,89;16,97;-20,39;-10,01
 2; 461; 3 (K);-16,28;-25,62;8,59;-66,83;-42,46;14,94;-21,70;-6,88
 2; 462; 3 (K);-16,62;-26,27;7,02;-66,15;-41,18;12,89;-22,73;-3,98
 2; 463; 3 (K);-16,79;-26,58;5,40;-65,07;-40,02;10,86;-23,49;-1,27
 2; 464; 3 (K);-16,80;-26,56;3,78;-63,62;-38,98;8,87;-23,98;1,27
 2; 465; 3 (K);-16,66;-26,24;2,16;-61,81;-38,06;6,97;-24,22;3,67
 2; 466; 3 (K);-16,37;-25,64;0,57;-59,65;-37,24;5,17;-24,22;5,97
 2; 467; 3 (K);-15,93;-24,76;-0,97;-57,17;-36,52;3,50;-24,00;8,18
 2; 468; 3 (K);-15,37;-23,61;-2,45;-54,40;-35,89;1,99;-23,57;10,33
 2; 469; 3 (K);-14,69;-22,19;-3,84;-51,39;-35,34;0,66;-22,95;12,44
 2; 470; 3 (K);-13,88;-20,50;-5,14;-48,16;-34,85;-0,47;-22,17;14,52
 2; 471; 3 (K);-12,98;-18,53;-6,34;-44,77;-34,40;-1,39;-21,23;16,61
 2; 472; 3 (K);-11,97;-16,29;-7,42;-41,28;-33,97;-2,08;-20,16;18,69
 2; 473; 3 (K);10,20;54,01;6,15;-56,09;-76,84;18,55;19,78;-95,99
 2; 474; 3 (K);6,93;41,02;9,28;-55,04;-74,48;21,04;16,28;-85,45
 2; 475; 3 (K);3,79;29,64;11,36;-54,95;-71,86;22,98;12,35;-75,96
 2; 476; 3 (K);0,81;19,71;12,95;-55,53;-69,09;24,36;8,55;-67,25
 2; 477; 3 (K);-1,99;11,06;14,07;-56,56;-66,28;25,19;4,91;-59,26
 2; 478; 3 (K);-4,58;3,57;14,77;-57,86;-63,48;25,53;1,45;-51,94
 2; 479; 3 (K);-6,97;-2,88;15,08;-59,29;-60,76;25,42;-1,79;-45,23
 2; 480; 3 (K);-9,13;-8,40;15,04;-60,71;-58,13;24,90;-4,81;-39,08
 2; 481; 3 (K);-11,07;-13,09;14,70;-62,04;-55,64;24,04;-7,59;-33,45
 2; 482; 3 (K);-12,79;-17,03;14,10;-63,20;-53,29;22,90;-10,12;-28,29
 2; 483; 3 (K);-14,28;-20,29;13,26;-64,13;-51,09;21,51;-12,40;-23,54
 2; 484; 3 (K);-15,55;-22,95;12,23;-64,78;-49,04;19,93;-14,41;-19,19
 2; 485; 3 (K);-16,61;-25,05;11,05;-65,13;-47,16;18,21;-16,17;-15,17
 2; 486; 3 (K);-17,46;-26,66;9,73;-65,14;-45,43;16,38;-17,67;-11,47
 2; 487; 3 (K);-18,11;-27,82;8,32;-64,80;-43,85;14,50;-18,90;-8,03
 2; 488; 3 (K);-18,56;-28,56;6,84;-64,11;-42,42;12,59;-19,89;-4,84
 2; 489; 3 (K);-18,82;-28,92;5,32;-63,07;-41,13;10,69;-20,63;-1,85
 2; 490; 3 (K);-18,90;-28,93;3,78;-61,68;-39,97;8,83;-21,14;0,95
 2; 491; 3 (K);-18,81;-28,60;2,24;-59,96;-38,94;7,04;-21,42;3,61
 2; 492; 3 (K);-18,56;-27,96;0,73;-57,92;-38,03;5,35;-21,48;6,14
 2; 493; 3 (K);-18,15;-27,01;-0,74;-55,58;-37,22;3,78;-21,34;8,57
 2; 494; 3 (K);-17,58;-25,77;-2,14;-52,98;-36,51;2,35;-21,02;10,92
 2; 495; 3 (K);-16,88;-24,25;-3,48;-50,15;-35,88;1,10;-20,52;13,21
 2; 496; 3 (K);-16,05;-22,43;-4,73;-47,12;-35,32;0,02;-19,87;15,45
 2; 497; 3 (K);-15,10;-20,33;-5,88;-43,95;-34,81;-0,86;-19,08;17,67
 2; 498; 3 (K);-14,04;-17,94;-6,92;-40,68;-34,32;-1,53;-18,17;19,87
 2; 499; 3 (K);10,89;57,53;5,71;-58,69;-79,78;17,26;18,22;-100,53
 2; 500; 3 (K);7,47;43,89;8,62;-57,18;-77,38;19,43;15,20;-89,89
 2; 501; 3 (K);4,17;31,89;10,56;-56,57;-74,72;21,18;11,74;-80,26
 2; 502; 3 (K);1,03;21,36;12,05;-56,62;-71,92;22,46;8,39;-71,36
 2; 503; 3 (K);-1,94;12,16;13,13;-57,16;-69,04;23,29;5,16;-63,16
 2; 504; 3 (K);-4,71;4,16;13,81;-58,00;-66,16;23,67;2,08;-55,59
 2; 505; 3 (K);-7,27;-2,76;14,13;-59,00;-63,33;23,63;-0,82;-48,62
 2; 506; 3 (K);-9,60;-8,71;14,13;-60,06;-60,58;23,24;-3,53;-42,19
 2; 507; 3 (K);-11,72;-13,77;13,84;-61,08;-57,95;22,51;-6,04;-36,27
 2; 508; 3 (K);-13,60;-18,04;13,30;-61,97;-55,46;21,51;-8,34;-30,82
 2; 509; 3 (K);-15,26;-21,59;12,55;-62,68;-53,11;20,28;-10,41;-25,78
 2; 510; 3 (K);-16,68;-24,48;11,60;-63,17;-50,92;18,87;-12,25;-21,13
 2; 511; 3 (K);-17,88;-26,79;10,51;-63,38;-48,88;17,30;-13,87;-16,83
 2; 512; 3 (K);-18,86;-28,56;9,29;-63,31;-47,01;15,64;-15,26;-12,84
 2; 513; 3 (K);-19,62;-29,84;7,98;-62,93;-45,29;13,91;-16,42;-9,14
 2; 514; 3 (K);-20,17;-30,67;6,60;-62,23;-43,73;12,15;-17,35;-5,68
 2; 515; 3 (K);-20,52;-31,08;5,17;-61,21;-42,32;10,39;-18,07;-2,44
 2; 516; 3 (K);-20,67;-31,11;3,73;-59,87;-41,04;8,67;-18,57;0,61
 2; 517; 3 (K);-20,64;-30,78;2,29;-58,23;-39,91;7,00;-18,87;3,50
 2; 518; 3 (K);-20,42;-30,11;0,86;-56,29;-38,89;5,43;-18,98;6,24
 2; 519; 3 (K);-20,03;-29,11;-0,52;-54,09;-37,99;3,97;-18,91;8,87
 2; 520; 3 (K);-19,48;-27,79;-1,85;-51,64;-37,20;2,64;-18,67;11,40
 2; 521; 3 (K);-18,78;-26,17;-3,12;-48,98;-36,48;1,46;-18,28;13,85
 2; 522; 3 (K);-17,93;-24,24;-4,30;-46,14;-35,85;0,44;-17,75;16,25
 2; 523; 3 (K);-16,95;-22,02;-5,40;-43,16;-35,26;-0,39;-17,08;18,59
 2; 524; 3 (K);-15,85;-19,49;-6,40;-40,08;-34,71;-1,05;-16,31;20,90
 2; 525; 3 (K);11,52;60,76;5,27;-60,92;-82,28;15,93;16,63;-104,48
 2; 526; 3 (K);7,98;46,55;7,94;-59,06;-79,86;17,81;14,04;-93,78
 2; 527; 3 (K);4,55;33,99;9,73;-58,04;-77,19;19,36;11,02;-84,06
 2; 528; 3 (K);1,27;22,92;11,12;-57,66;-74,37;20,54;8,07;-75,02
 2; 529; 3 (K);-1,83;13,22;12,13;-57,76;-71,47;21,32;5,22;-66,64
 2; 530; 3 (K);-4,75;4,75;12,79;-58,19;-68,55;21,72;2,49;-58,87
 2; 531; 3 (K);-7,45;-2,60;13,12;-58,82;-65,65;21,76;-0,09;-51,67
 2; 532; 3 (K);-9,94;-8,94;13,14;-59,53;-62,83;21,46;-2,51;-45,01
 2; 533; 3 (K);-12,20;-14,35;12,90;-60,25;-60,11;20,86;-4,76;-38,84
 2; 534; 3 (K);-14,23;-18,92;12,43;-60,89;-57,51;20,00;-6,83;-33,13
 2; 535; 3 (K);-16,02;-22,74;11,75;-61,40;-55,04;18,92;-8,70;-27,84
 2; 536; 3 (K);-17,58;-25,86;10,89;-61,71;-52,73;17,66;-10,38;-22,93
 2; 537; 3 (K);-18,90;-28,36;9,89;-61,81;-50,58;16,26;-11,85;-18,37
 2; 538; 3 (K);-20,00;-30,28;8,78;-61,65;-48,58;14,76;-13,13;-14,13
 2; 539; 3 (K);-20,86;-31,68;7,57;-61,21;-46,75;13,19;-14,20;-10,18
 2; 540; 3 (K);-21,50;-32,59;6,29;-60,50;-45,07;11,58;-15,08;-6,48
 2; 541; 3 (K);-21,93;-33,06;4,97;-59,49;-43,54;9,98;-15,76;-3,01
 2; 542; 3 (K);-22,15;-33,12;3,63;-58,20;-42,16;8,40;-16,25;0,26
 2; 543; 3 (K);-22,17;-32,79;2,29;-56,63;-40,91;6,87;-16,57;3,35
 2; 544; 3 (K);-22,00;-32,09;0,96;-54,79;-39,80;5,42;-16,71;6,29
 2; 545; 3 (K);-21,64;-31,04;-0,34;-52,70;-38,81;4,06;-16,69;9,10
 2; 546; 3 (K);-21,11;-29,66;-1,58;-50,39;-37,92;2,83;-16,52;11,80
 2; 547; 3 (K);-20,41;-27,95;-2,77;-47,88;-37,12;1,73;-16,21;14,40
 2; 548; 3 (K);-19,55;-25,93;-3,88;-45,21;-36,40;0,79;-15,77;16,92
 2; 549; 3 (K);-18,56;-23,59;-4,92;-42,40;-35,74;-0,00;-15,22;19,39
 2; 550; 3 (K);-17,42;-20,94;-5,86;-39,51;-35,12;-0,63;-14,56;21,79
 2; 551; 3 (K);12,11;63,69;4,82;-62,81;-84,40;14,58;15,05;-107,91
 2; 552; 3 (K);8,45;48,98;7,25;-60,70;-81,96;16,18;12,83;-97,18
 2; 553; 3 (K);4,91;35,93;8,89;-59,36;-79,31;17,54;10,20;-87,39
 2; 554; 3 (K);1,52;24,39;10,17;-58,62;-76,49;18,61;7,63;-78,25
 2; 555; 3 (K);-1,70;14,23;11,11;-58,35;-73,59;19,34;5,13;-69,73
 2; 556; 3 (K);-4,73;5,33;11,73;-58,42;-70,65;19,74;2,73;-61,79
 2; 557; 3 (K);-7,56;-2,41;12,05;-58,70;-67,73;19,83;0,44;-54,41
 2; 558; 3 (K);-10,17;-9,10;12,10;-59,11;-64,86;19,61;-1,71;-47,54
 2; 559; 3 (K);-12,56;-14,83;11,91;-59,56;-62,08;19,12;-3,71;-41,16
 2; 560; 3 (K);-14,71;-19,69;11,49;-59,96;-59,40;18,39;-5,56;-35,23
 2; 561; 3 (K);-16,62;-23,75;10,89;-60,26;-56,86;17,45;-7,24;-29,71
 2; 562; 3 (K);-18,29;-27,09;10,12;-60,42;-54,46;16,35;-8,75;-24,57
 2; 563; 3 (K);-19,72;-29,76;9,21;-60,39;-52,20;15,11;-10,09;-19,79
 2; 564; 3 (K);-20,91;-31,83;8,20;-60,14;-50,11;13,76;-11,25;-15,32
 2; 565; 3 (K);-21,87;-33,34;7,09;-59,66;-48,17;12,36;-12,23;-11,15
 2; 566; 3 (K);-22,60;-34,34;5,93;-58,92;-46,38;10,91;-13,04;-7,23
 2; 567; 3 (K);-23,10;-34,87;4,72;-57,93;-44,75;9,45;-13,68;-3,56
 2; 568; 3 (K);-23,39;-34,95;3,48;-56,67;-43,27;8,02;-14,16;-0,09
